Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
50.2198081,5.82E-05,-0.07523844,0.9505205,5.269795,-0.03809267,-135.1706
50.22988749,0.01795558,-0.04552885,0.9959424,2.9914,1.754383,-136.2691
50.23996639,0.03683501,-0.07397068,0.9952686,0.2203793,6.235572,-139.2596
50.24752569,0.02228556,-0.06882367,0.9714669,-2.920111,8.147545,-141.8839
50.25760508,0.03820907,-0.07024655,0.9733925,-4.829037,7.012311,-140.2971
50.26768494,0.03322406,-0.01192467,0.9693708,-4.397989,4.682093,-143.0434
50.27776432,0.04579011,-0.01719009,0.9741953,-3.597472,2.949367,-147.6207
50.28784323,0.02636846,0.02421519,0.9657025,-1.011186,-1.352575,-149.5736
50.29792261,0.04326313,0.02620177,0.9730009,0.03564457,-6.252008,-154.0898
50.308002,0.04264812,0.08604563,0.9806638,2.190883,-8.880973,-153.5405
50.3180809,0.05907108,0.08175059,0.9859779,2.375618,-6.8495,-153.1743
50.32816029,0.05230892,0.1006344,0.9992364,2.806665,-6.431255,-152.8692
50.33823919,0.07649062,0.07752524,1.002484,2.314039,-6.132509,-152.6251
50.34831858,0.09768368,0.08378936,0.9990993,4.777169,-6.132509,-150.489
50.35839796,0.09076193,0.1527613,1.001956,5.639265,-7.028747,-149.8787
50.36847687,0.1014546,0.1122151,0.9944026,6.747673,-7.327493,-149.3905
50.37855625,0.08977696,0.1367143,0.9804485,6.50136,-6.610503,-152.9302
50.38863611,0.09789959,0.1661378,0.9806209,4.900326,-5.654516,-154.8832
50.3987155,0.1050752,0.1631087,0.9577261,4.961904,-4.399783,-157.3854
50.4087944,0.1027495,0.1429243,0.9692841,3.791917,-3.682793,-159.0332
50.41887379,0.09784594,0.1509901,0.9484124,4.469278,-4.579031,-161.4133
50.42895317,0.08032492,0.1821525,0.9208779,5.331373,-7.805487,-163.0611
50.43903208,0.08952746,0.1672126,0.9212668,6.562938,-11.15144,-163.4273
50.44911146,0.1083747,0.1644021,0.9324274,8.163973,-12.88417,-165.4413
50.45919085,0.1109128,0.1210342,0.937515,9.026069,-14.85589,-166.3567
50.46926975,0.1118428,0.148116,0.9498441,7.055564,-18.20185,-165.4413
50.47934914,0.0968455,0.1562461,0.9406592,5.023482,-22.80253,-164.1596
50.48942804,0.1176229,0.1485905,0.9478961,4.777169,-27.16422,-163.9155
50.49950743,0.1202082,0.1043542,0.96855,4.222965,-29.73344,-166.4177
50.50958681,0.0883164,0.1153472,0.9564758,5.639265,-27.40322,-166.1736
50.51966667,0.09276402,0.08939584,0.9704267,6.562938,-25.01325,-164.831
50.52974558,0.09637575,0.02977607,0.9987724,6.932408,-24.35601,-162.6949
50.53982496,0.0766964,0.03674977,1.037272,3.668761,-22.62329,-160.0707
50.54990435,0.02022526,0.056486,1.038409,1.698257,-18.44084,-159.0942
50.55746365,0.02167419,0.07200911,1.0531,2.560353,-13.78041,-158.4839
50.56754255,-0.02617287,0.1071479,1.048484,2.621931,-11.09169,-157.5074
50.57762194,-0.03051728,0.1289569,1.066625,5.577686,-9.896709,-152.564
50.58770084,-0.03956923,0.09184971,1.071759,7.732925,-10.8527,-148.353
50.59778023,0.002102029,0.02199313,1.077629,9.888164,-12.76467,-146.0339
50.60786009,-0.01735451,0.05023065,1.045212,11.92025,-13.42191,-139.6258
50.61793947,-0.01497646,0.02058116,1.007074,9.210803,-15.15464,-136.6353
50.62801838,-0.01034178,0.0565497,0.9741994,5.823999,-16.23012,-134.7434
50.63809776,-0.002842289,0.09003417,0.9291417,6.624516,-13.78041,-133.0346
50.64817715,0.03441329,0.06316973,0.9474415,5.516108,-3.682793,-133.4618
50.65825605,0.06833049,0.06159882,1.00142,3.791917,11.55325,-134.5603
50.66833544,0.04635605,-0.02137404,0.9994735,1.082475,22.36785,-134.1942
50.67841482,0.05368512,-0.002251916,1.049705,-1.072764,22.5471,-131.9361
50.68849373,0.02187423,0.02200788,1.077614,-6.614806,21.83011,-128.9456
50.69857311,0.04185438,-0.0250521,1.107483,-12.52632,22.9056,-121.9882
50.70865202,-0.004545158,0.012514,1.105314,-19.3615,23.50309,-115.6412
50.7187314,0.007018156,0.04886847,1.134236,-21.02411,24.16033,-112.5287
50.72881126,0.02102241,0.02127959,1.116053,-20.40833,26.84904,-112.7728
50.73889065,0.02625784,-0.007960474,1.06575,-19.42308,24.57857,-111.3081
50.74896956,0.03681742,0.006002752,1.060961,-17.14469,21.29237,-108.1345
50.75904894,0.05955128,-0.02923271,1.052943,-16.5289,18.84265,-107.5242
50.76912832,0.04780389,-0.01797621,1.002899,-13.20368,17.22942,-103.9845
50.77920723,0.03564091,0.01863894,0.9987515,-11.84896,16.69168,-99.28526
50.78928661,0.07197241,-0.03868905,1.003728,-11.7258,18.7829,-95.50143
50.799366,0.04915237,-0.01139755,0.9747145,-12.52632,18.36466,-89.52054
50.8094449,0.04616343,0.0126409,0.963184,-14.18893,16.33319,-87.9948
50.81952429,0.05002141,-0.000448999,0.9514228,-14.43524,13.94322,-88.60509
50.82960367,0.06542501,-0.00195322,0.9402097,-15.1126,12.74823,-87.9948
50.83968258,0.04016723,0.02964375,0.9058712,-15.29734,9.581526,-84.94333
50.84976244,0.02171891,0.07252349,0.9017661,-12.15685,3.128614,-84.82127
50.85984182,0.02904129,0.06641558,0.9270273,-6.430071,1.156891,-84.57715
50.86992073,0.03833388,0.04972954,0.9570891,-0.4569814,2.053129,-82.99038
50.87748003,0.03506552,0.02813666,0.9749653,1.821414,3.367611,-80.18303
50.88755941,0.03089637,0.000861008,1.009839,2.067727,1.694634,-76.15508
50.8976388,0.03195432,0.001062669,1.042443,0.2819575,-0.2173402,-72.31022
50.90771771,0.01692077,0.01347909,1.024525,0.89774,-3.204799,-70.84551
50.91779709,0.01357399,-0.009252241,1.014171,-1.19592,-6.431255,-67.36683
50.92787647,0.02362869,-0.00503638,0.9927775,-3.843785,-8.821223,-62.11829
50.93795633,0.009516247,0.01989532,0.971042,-6.922697,-9.060221,-58.15137
50.94803524,-0.001189615,0.03665225,0.9526605,-8.031105,-8.283481,-56.93078
50.95811462,-0.005089284,0.05013742,0.9503123,-8.523731,-5.714265,-56.32049
