time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.864216,-0.03125,0.02075195,0.8239746,-0.086097483,-0.089522389,0.007153481
1.873839,-0.02929688,0.02514648,0.8261719,0.066573517,0.108950611,0.022420681
1.883294,-0.02832031,0.02832031,0.8181152,0.135276517,0.147118611,0.060588581
1.892751,-0.02758789,0.02416992,0.822998,0.150543517,0.002080611,0.007153481
1.90203,-0.02954102,0.02807617,0.8164063,-0.170067483,0.116584611,-0.046281619
1.911346,-0.0300293,0.02294922,0.8188477,-0.093731483,-0.097156389,0.152191681
1.920718,-0.03051758,0.02416992,0.8210449,0.188711317,-0.020820389,0.243794681
1.930035,-0.02856445,0.01904297,0.8171387,0.120008517,-0.005553389,-0.114983919
1.939316,-0.0378418,0.02075195,0.8129883,-0.017395483,0.055515611,-0.015747319
1.948648,-0.02783203,0.02197266,0.8193359,0.036039517,0.002080611,-0.160785419
1.970604,-0.03466797,0.02416992,0.8225098,0.112375517,-0.173492389,0.068222181
1.980119,-0.03344727,0.02172852,0.8139648,-0.093731483,-0.142957389,-0.008113719
1.989524,-0.0324707,0.02758789,0.8173828,0.127642517,0.124217611,-0.069182419
1.99891,-0.02905273,0.02514648,0.8254395,0.142909517,0.040248611,0.022420681
2.008277,-0.03125,0.0324707,0.8149414,0.150543517,0.070782611,0.060588581
2.017543,-0.0378418,0.02197266,0.8117676,0.158176517,0.055515611,-0.046281619
2.02687,-0.02783203,0.02099609,0.8164063,-0.086097483,-0.188759389,0.022420681
2.036187,-0.03149414,0.02563477,0.8181152,-0.139533483,0.047881611,0.030054281
2.045463,-0.02929688,0.02441406,0.8178711,-0.009762483,0.070782611,0.030054281
2.054819,-0.03100586,0.02587891,0.8146973,0.142909517,0.002080611,-0.092083219
2.077015,-0.03564453,0.02026367,0.8210449,0.020772517,-0.020820389,0.014787081
2.08664,-0.03515625,0.0222168,0.8149414,-0.093731483,-0.058988389,-0.114983919
2.096068,-0.03125,0.02075195,0.8105469,0.043673517,0.017347611,0.091122981
2.105412,-0.02880859,0.02197266,0.8132324,-0.009762483,-0.249828389,-0.107350319
2.114744,-0.03027344,0.0234375,0.8132324,0.127642517,0.154752211,-0.008113719
2.124076,-0.03222656,0.02514648,0.8193359,0.150543517,0.139484611,0.007153481
2.133406,-0.03173828,0.02246094,0.817627,-0.040296483,0.040248611,-0.114983919
2.142715,-0.03564453,0.02709961,0.8217773,0.058940517,0.070782611,0.037687881
2.152041,-0.02905273,0.02099609,0.8205566,0.081841517,0.162385811,-0.046281619
2.161403,-0.03540039,0.02148438,0.8178711,0.043673517,0.093683611,0.114023681
2.183773,-0.03710938,0.02392578,0.8254395,0.013138517,-0.089522389,-0.099716719
2.193423,-0.03857422,0.0234375,0.8161621,-0.047929483,0.040248611,-0.114983919
2.202901,-0.03125,0.02319336,0.8149414,-0.101365483,0.147118611,-0.122617519
2.212286,-0.03759766,0.0222168,0.8188477,-0.147166483,-0.234560389,-0.114983919
2.221683,-0.03320313,0.03125,0.8120117,0.089474517,0.078416611,-0.069182419
2.231003,-0.03540039,0.02709961,0.8146973,-0.070830483,-0.158225389,-0.008113719
2.240336,-0.0300293,0.0222168,0.8183594,0.097108517,0.192920111,0.007153481
2.249661,-0.03393555,0.03027344,0.8161621,0.150543517,-0.219293389,-0.069182419
2.258991,-0.03515625,0.0234375,0.8161621,-0.017395483,0.040248611,0.014787081
2.268401,-0.03637695,0.02612305,0.8164063,0.058940517,-0.051354389,-0.015747319
2.290977,-0.03125,0.02880859,0.8198242,-0.162433483,-0.066621389,-0.130251019
2.30062,-0.02661133,0.0246582,0.8212891,0.303215017,-0.028454389,0.213260381
2.310064,-0.02441406,0.02612305,0.8354492,-0.040296483,-0.173492389,0.060588581
2.319385,-0.03198242,0.02319336,0.8222656,-0.108998483,0.063149611,-0.053915219
2.328762,-0.03295898,0.02709961,0.8146973,-0.108998483,-0.051354389,-0.053915219
2.338093,-0.02905273,0.02539063,0.8098145,-0.002128483,0.002080611,0.037687881
2.347408,-0.03662109,0.02709961,0.8269043,0.013138517,-0.097156389,-0.053915219
2.356753,-0.03295898,0.02856445,0.8139648,0.097108517,-0.089522389,-0.069182419
2.366059,-0.0324707,0.02172852,0.8259277,-0.063197483,0.002080611,0.121657281
2.375374,-0.03149414,0.02514648,0.8205566,-0.108998483,-0.165858389,-0.015747319
2.398145,-0.03125,0.02563477,0.8139648,-0.009762483,-0.005553389,-0.023380919
2.407782,-0.03491211,0.02563477,0.8168945,0.127642517,0.063149611,0.190359581
2.417261,-0.02832031,0.02709961,0.815918,-0.108998483,-0.013186389,-0.046281619
2.426615,-0.03051758,0.02563477,0.8232422,0.036039517,0.177653011,-0.031014419
2.435985,-0.0324707,0.02197266,0.8156738,-0.009762483,0.024981611,-0.160785419
2.4453,-0.03295898,0.02441406,0.8103027,-0.025029483,0.032614611,0.075855781
2.454657,-0.03393555,0.02392578,0.817627,0.051306517,0.017347611,-0.122617519
2.464002,-0.03662109,0.02587891,0.8190918,0.097108517,-0.150591389,-0.023380919
2.473339,-0.02954102,0.02539063,0.8215332,0.013138517,-0.005553389,0.152191681
2.482743,-0.03125,0.02441406,0.8244629,-0.025029483,-0.005553389,-0.114983919
2.505571,-0.03198242,0.02978516,0.8195801,-0.093731483,0.002080611,0.052954981
2.515187,-0.03125,0.02734375,0.8105469,-0.139533483,0.017347611,-0.038648019
2.524654,-0.03271484,0.02246094,0.8217773,0.135276517,0.078416611,-0.069182419
2.534029,-0.02783203,0.0222168,0.824707,0.028405517,-0.058988389,-0.061548819
2.543337,-0.03320313,0.02246094,0.8249512,-0.101365483,-0.150591389,0.114023681
2.552682,-0.03540039,0.0234375,0.822998,0.089474517,-0.074255389,-0.092083219
2.562034,-0.0378418,0.02270508,0.8203125,0.051306517,0.063149611,-0.176052619
2.571315,-0.03198242,0.01928711,0.809082,-0.070830483,0.009713611,-0.107350319
2.580652,-0.0246582,0.02587891,0.8120117,0.051306517,0.154752211,-0.031014419
2.590005,-0.03320313,0.02075195,0.8254395,-0.063197483,-0.226927389,0.159825281
2.613017,-0.03808594,0.02783203,0.8225098,-0.101365483,0.024981611,-0.069182419
2.622666,-0.02661133,0.02563477,0.814209,-0.002128483,0.063149611,0.083489381
