Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
47.27814982,-0.049440103,-0.03354594,1.000636633,-0.950309167,0.399292703,30.36556333
47.28814982,-0.055055337,-0.018141276,1.001273967,-0.523479733,0.04360167,17.64198333
47.29814982,-0.050172523,0.010052287,1.0029933,-0.19827645,0.145227703,8.495642333
47.30814982,-0.038372393,0.01590556,1.005834333,-0.0153496,0.8057968,3.414341333
47.31814982,-0.026979163,0.01988139,1.005012,-0.0153496,1.507016333,1.2700324
47.32814982,-0.020143227,0.02020569,1.000641267,-0.086487817,1.466365933,0.5789755
47.33814982,-0.02120117,0.02044576,1.001042267,-0.11697563,0.785471613,0.020032533
47.34814982,-0.019736327,0.017197467,1.0002236,-0.045837397,0.28750411,-0.7015122
47.35814982,-0.023235677,0.016218463,1.000623267,-0.005186993,-0.13932519,-1.484032633
47.36814982,-0.023723957,0.016791583,0.998679067,0.076113837,-0.393390203,-1.697447333
47.37814982,-0.019817707,0.01686727,0.997072967,0.03546343,-0.362902427,-1.219805033
47.38814982,-0.012737629,0.017597657,0.996899167,0.055788612,0.063926873,-0.518585403
47.39814982,-0.011923829,0.017104697,0.999984033,0.025300779,0.50091874,-0.244195103
47.40814982,-0.015504559,0.019054973,1.004033467,0.116764186,0.2468537,-0.366146337
47.41814982,-0.020550133,0.017836307,1.004523433,0.198065,-0.7084309,-0.6202114
47.42814982,-0.018271487,0.01816854,1.001168533,0.198065,-1.429975767,-0.732000033
47.43814982,-0.01542318,0.017599693,0.997929967,0.106601593,-1.165748097,-0.467772393
47.44814982,-0.01184245,0.019716187,1.000622867,0.025300779,-0.190138297,-0.142569127
47.45814982,-0.01224935,0.02117147,1.000004533,0.045626012,0.64319517,0.04035771
47.46814982,-0.01322591,0.021821493,1.001210767,0.015138186,0.683845567,-0.06126833
47.47814982,-0.018841143,0.02051697,0.9970679,0.045626,0.2570163,-0.18321953
47.48814982,-0.02079427,0.018734743,0.9989338,-0.035674823,-0.362902367,-0.254357733
47.49814982,-0.02006185,0.019309897,0.996503867,0.02530082,-0.688105633,-0.18321949
47.50814982,-0.015097657,0.020451253,0.999662733,-0.015349587,-0.55599182,-0.16289429
47.51814982,-0.012167967,0.02125895,0.999804733,-0.07632523,-0.098674787,-0.091756087
47.52814982,-0.012900387,0.020032957,1.0000459,-0.137300873,0.328154513,-0.020617897
47.53814982,-0.016236977,0.020441077,0.9996239,-0.11697565,0.409455333,0.020032513
47.54814982,-0.019736327,0.020603023,1.0008549,-0.035674823,0.317991933,0.030195124
47.55814982,-0.02071289,0.019549353,1.003613333,0.004975596,0.145227688,-0.122243876
47.56814982,-0.01762044,0.01873352,1.002821933,-0.045837454,-0.078349545,-0.162894286
47.57814982,-0.015016273,0.01597453,1.001910933,-0.015349638,-0.362902412,-0.2137073
47.58814982,-0.01403971,0.016946413,1.000941933,0.004975587,-0.4137154,-0.13240649
47.59814982,-0.01371419,0.016457723,1.000280733,0.07611382,-0.240951167,-0.14256909
47.60814982,-0.015585933,0.01653788,1.0016814,0.116764243,0.0944147,-0.15273169
47.61814982,-0.017050777,0.016540323,1.003073733,0.126926833,0.3078293,-0.132406486
47.62814982,-0.01810872,0.017190553,1.004532667,0.065951243,0.267178888,-0.061268273
47.63814982,-0.01770182,0.020357467,1.002902667,0.03546341,0.084252055,-0.061268273
47.64814982,-0.018597003,0.019710087,1.001260333,0.02530082,-0.169812979,-0.112081286
47.65814982,-0.0173763,0.017922773,1.001670667,0.09643901,-0.271439033,-0.203544733
47.66814982,-0.018922523,0.0154893,1.001745667,0.08627642,-0.352739833,-0.14256912
47.67814982,-0.018190103,0.013290813,1.001737,0.09643901,-0.342577233,-0.13240652
47.68814982,-0.01688802,0.013208823,0.999382,0.07611382,-0.25111377,-0.112081286
47.69814982,-0.014609377,0.01466736,0.999309,0.045626003,0.023276463,-0.122243897
47.70814982,-0.014690757,0.017914633,1.002164667,0.015138189,0.267178897,-0.091756093
47.71814982,-0.018271487,0.018727417,1.003791667,-0.015349628,0.3383171,-0.02061788
47.72814982,-0.02046875,0.01783427,1.002249733,0.004975596,0.206203263,-0.101918716
47.73814982,-0.02030599,0.016946613,1.0003864,-0.005186997,0.063926837,-0.11208131
47.74814982,-0.019736327,0.016786903,1.002982733,0.015138227,-0.23078863,-0.152731723
47.75814982,-0.01688802,0.017849117,1.005742333,0.015138227,-0.383227627,-0.071430887
47.76814982,-0.01762044,0.017113643,1.002967433,0.015138227,-0.525504033,-0.122243897
47.77814982,-0.018352863,0.01654317,0.999312033,-0.015349587,-0.200300767,-0.101918687
47.78814982,-0.019654947,0.015970457,0.9972772,-0.0458374,0.104577267,-0.101918687
47.79814982,-0.01745768,0.015891113,0.999968433,-0.0458374,0.257016303,-0.040943083
47.80814982,-0.015016273,0.01556783,1.002075833,-0.0458374,0.09441467,-0.03078049
47.81814982,-0.015179033,0.013941853,1.005419667,-0.03567481,-0.02753655,-0.051105697
47.82814982,-0.01688802,0.015079343,1.0028285,-0.015349587,-0.068186957,-0.06126829
47.83814982,-0.018271483,0.014346513,0.9993419,-0.02551218,0.02327645,-0.040943087
47.84814982,-0.018841147,0.015566607,0.9951936,-0.045837363,0.002951267,-0.040943087
47.85814982,-0.018434243,0.01540995,0.997455767,-0.005186947,-0.058024363,-0.091756097
47.86814982,-0.018759763,0.017927243,1.0007077,-0.05599999,-0.15965037,-0.061268303
47.87814982,-0.016155597,0.020034177,0.9997541,-0.05599999,-0.2104634,-0.1324065
47.88814982,-0.014527993,0.02010803,1.000087767,-0.076325223,-0.1799756,-0.1222439
47.89814982,-0.01298177,0.018886107,0.999855433,-0.02551218,-0.047861767,-0.142569093
47.90814982,-0.016236977,0.017019247,1.002419667,0.015138227,0.053764267,-0.061268283
